归因方式,cpsid,包体id,渠道,设备归因日期,设备激活数,账号注册数,角色创建数,f1,f3,f7,f15,f30,f60,f90,f180,累计付费金额,c1,c3,c7,c15,c30,c60,c90,c180,累计付费人数
TD,2130409,213,yc,2022/7/1,1,1,2,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1
TD,2130408,213,yc,2022/7/1,1,1,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TD,2130407,213,yc,2022/7/1,2,1,7,30,31,212,330,330,330,330,330,330,1,1,1,1,1,1,1,1,1
TD,2130405,213,yc,2022/7/1,1,1,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TD,2130403,213,yc,2022/7/1,2,1,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TD,2130390,213,yc,2022/7/1,5,5,7,6,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1
TD,2130386,213,yc,2022/7/1,1,1,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TD,2130383,213,yc,2022/7/1,1,1,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TD,2130382,213,yc,2022/7/1,1,1,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TD,2130381,213,yc,2022/7/1,1,1,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TD,2130380,213,yc,2022/7/1,1,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TD,2130376,213,yc,2022/7/1,1,1,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TD,2130375,213,yc,2022/7/1,4,2,2,6,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1
TD,2130374,213,yc,2022/7/1,1,1,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TD,2130373,213,yc,2022/7/1,2,2,3,400,994,994,994,994,994,994,994,994,2,2,2,2,2,2,2,2,2
TD,2130350,213,yc,2022/7/1,1,1,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TD,2130349,213,yc,2022/7/1,3,2,2,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TD,2130348,213,yc,2022/7/1,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TD,2130347,213,yc,2022/7/1,2,2,2,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TD,2130346,213,yc,2022/7/1,4,3,3,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TD,2130344,213,yc,2022/7/1,5,3,3,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TD,2130343,213,yc,2022/7/1,2,2,2,6,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1
TD,2130341,213,yc,2022/7/1,2,2,2,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TD,2130336,213,yc,2022/7/1,1,1,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TD,2130332,213,yc,2022/7/1,3,3,3,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TD,2130327,213,yc,2022/7/1,1,1,1,6,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1
TD,2130322,213,yc,2022/7/1,1,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TD,2130313,213,yc,2022/7/1,14,13,15,86,86,86,86,86,86,86,86,86,4,4,4,4,4,4,4,4,4
TD,2130307,213,yc,2022/7/1,5,4,5,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TD,2130306,213,yc,2022/7/1,6,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TD,2130305,213,yc,2022/7/1,11,7,6,12,12,12,12,12,12,12,12,12,2,2,2,2,2,2,2,2,2
TD,2130304,213,yc,2022/7/1,2,1,1,6,36,36,36,36,36,36,36,36,1,1,1,1,1,1,1,1,1
TD,2130302,213,yc,2022/7/1,2,1,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TD,2130301,213,yc,2022/7/1,8,6,7,818,878,878,878,878,878,878,878,878,2,2,2,2,2,2,2,2,2
TD,2130210,213,yc,2022/7/1,3,1,1,6,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1
TD,2130208,213,yc,2022/7/1,1,1,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TD,2130206,213,yc,2022/7/1,1,1,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TD,2130205,213,yc,2022/7/1,2,2,2,6,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1
TD,2130204,213,yc,2022/7/1,3,2,2,12,12,12,12,12,12,12,12,12,2,2,2,2,2,2,2,2,2
TD,2130159,213,yc,2022/7/1,2,5,9,31,31,37,38,38,38,38,38,38,2,2,3,3,3,3,3,3,3
TD,2130087,213,yc,2022/7/1,1,1,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TD,2130086,213,yc,2022/7/1,4,4,5,6,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1
TD,2130082,213,yc,2022/7/1,2,2,2,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TD,2130017,213,yc,2022/7/1,12,7,7,30,30,30,30,30,30,30,30,30,5,5,5,5,5,5,5,5,5
TD,2120111,212,yc,2022/7/1,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TD,2120106,212,yc,2022/7/1,1,1,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TD,2120057,212,yc,2022/7/1,1,1,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TD,2120055,212,yc,2022/7/1,11,10,13,37,41,41,41,41,41,41,41,41,5,5,5,5,5,5,5,5,5
TD,2120054,212,yc,2022/7/1,9,8,8,12,12,12,12,12,12,12,12,12,2,2,2,2,2,2,2,2,2
TD,2120053,212,yc,2022/7/1,10,8,8,105,165,165,174,174,174,174,174,174,3,3,3,3,3,3,3,3,3
TD,2120052,212,yc,2022/7/1,8,7,9,0,0,6,6,6,6,6,6,6,0,0,1,1,1,1,1,1,1
TD,2120051,212,yc,2022/7/1,1,1,2,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TD,2120049,212,yc,2022/7/1,5,3,5,6,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1
TD,2120048,212,yc,2022/7/1,1,1,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TD,2120047,212,yc,2022/7/1,1,1,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TD,2120044,212,yc,2022/7/1,2,1,1,6,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1
TD,2120043,212,yc,2022/7/1,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TD,2120041,212,yc,2022/7/1,1,1,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TD,2111000,211,yc,2022/7/1,55,46,77,5894,17696,25428,28805,28805,28805,28805,28805,28805,20,21,21,22,22,22,22,22,22
TD,2110339,211,yc,2022/7/1,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TD,2110324,211,yc,2022/7/1,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TD,2110321,211,yc,2022/7/1,23,18,22,420,553,587,587,587,587,587,587,587,6,6,6,6,6,6,6,6,6
TD,2110318,211,yc,2022/7/1,2,2,6,36,66,490,490,490,490,490,490,490,1,1,1,1,1,1,1,1,1
TD,2110314,211,yc,2022/7/1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TD,2110308,211,yc,2022/7/1,3,2,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TD,2110307,211,yc,2022/7/1,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TD,2110306,211,yc,2022/7/1,5,7,4,6,6,6,7,7,7,7,7,7,1,1,1,2,2,2,2,2,2
TD,2110305,211,yc,2022/7/1,2,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TD,2110304,211,yc,2022/7/1,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TD,2110303,211,yc,2022/7/1,2,1,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TD,2110302,211,yc,2022/7/1,1,1,3,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TD,2110096,211,yc,2022/7/1,12,9,14,98,98,286,621,621,621,621,621,621,1,1,1,1,1,1,1,1,1
TD,2110095,211,yc,2022/7/1,1,1,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TD,2110094,211,yc,2022/7/1,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TD,2110093,211,yc,2022/7/1,1,1,2,0,0,6,6,6,6,6,6,6,0,0,1,1,1,1,1,1,1
TD,2110086,211,yc,2022/7/1,4,3,2,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TD,2110085,211,yc,2022/7/1,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TD,2110083,211,yc,2022/7/1,1,1,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TD,2110082,211,yc,2022/7/1,1,1,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TD,2110008,211,yc,2022/7/1,5,5,7,6,6,136,136,136,136,136,136,136,1,1,1,1,1,1,1,1,1
TD,2110007,211,yc,2022/7/1,6,4,5,6,6,6,7,7,7,7,7,7,1,1,1,2,2,2,2,2,2
TD,2110003,211,yc,2022/7/1,4,3,3,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TD,2110001,211,yc,2022/7/1,3,3,4,159,159,559,619,619,619,619,619,619,1,1,1,1,1,1,1,1,1
TD,2103202,210,yc,2022/7/1,1,1,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TD,2103201,210,yc,2022/7/1,2,2,2,36,36,36,36,36,36,36,36,36,1,1,1,1,1,1,1,1,1
TD,2103197,210,yc,2022/7/1,1,1,2,514,2412,2412,2478,2478,2478,2478,2478,2478,1,1,1,1,1,1,1,1,1
TD,2103194,210,yc,2022/7/1,4,2,2,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TD,2103193,210,yc,2022/7/1,26,27,39,108,126,126,207,207,207,207,207,207,6,6,6,8,8,8,8,8,8
TD,2103192,210,yc,2022/7/1,4,2,2,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TD,2103191,210,yc,2022/7/1,19,14,23,68,68,206,492,492,492,492,492,492,7,7,7,7,7,7,7,7,7
TD,2103173,210,icn,2022/7/1,1,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TD,2103170,210,yc,2022/7/1,18,15,17,441,441,441,441,441,441,441,441,441,3,3,3,3,3,3,3,3,3
TD,2103169,210,yc,2022/7/1,22,19,22,146,146,3072,3072,3072,3072,3072,3072,3072,8,8,9,9,9,9,9,9,9
TD,2103139,210,yc,2022/7/1,33,28,39,2334,10318,20168,26452,26453,26453,26453,26453,26453,11,11,12,13,14,14,14,14,14
TD,2103094,210,yc,2022/7/1,5,4,4,6,36,66,66,66,66,66,66,66,1,1,1,1,1,1,1,1,1
TD,2103046,210,yc,2022/7/1,20,17,18,1,1,263,681,815,1241,1241,1241,1241,1,1,3,3,3,3,3,3,3
TD,2103028,210,yc,2022/7/1,10,10,13,1630,2054,2084,2084,2084,2084,2084,2084,2084,5,5,5,5,5,5,5,5,5
TD,2103024,210,yc,2022/7/1,13,10,18,20,27,44,44,44,44,44,44,44,5,5,5,5,5,5,5,5,5
TD,2102669,210,yc,2022/7/1,10,8,7,18,18,18,18,18,18,18,18,18,3,3,3,3,3,3,3,3,3
TD,2102667,210,yc,2022/7/1,7,6,6,18,18,18,18,18,18,18,18,18,3,3,3,3,3,3,3,3,3
TD,2102666,210,yc,2022/7/1,4,3,3,14,14,15,15,15,15,15,15,15,3,3,3,3,3,3,3,3,3
TD,2102665,210,yc,2022/7/1,17,12,13,24,24,24,24,24,24,24,24,24,3,3,3,3,3,3,3,3,3
TD,2102664,210,yc,2022/7/1,1,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TD,2102663,210,yc,2022/7/1,2,1,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TD,2102662,210,yc,2022/7/1,5,3,3,18,18,18,18,18,18,18,18,18,3,3,3,3,3,3,3,3,3
TD,2102661,210,yc,2022/7/1,14,12,12,32,33,35,35,35,35,35,35,35,6,6,6,6,6,6,6,6,6
TD,2102090,210,yc,2022/7/1,16,15,16,58,102,204,382,382,382,382,382,382,4,4,4,4,4,4,4,4,4
TD,2102077,210,yc,2022/7/1,1,1,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TD,2102000,210,yc,2022/7/1,8,7,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TD,2101999,210,yc,2022/7/1,15,15,16,18,220,378,378,378,378,378,378,378,3,4,4,4,4,4,4,4,4
TD,2101998,210,yc,2022/7/1,1,1,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TD,2101997,210,yc,2022/7/1,3,3,3,42,42,42,42,42,42,42,42,42,2,2,2,2,2,2,2,2,2
TD,2101995,210,yc,2022/7/1,1,1,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TD,2101994,210,yc,2022/7/1,4,4,4,6,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1
