归因方式,cpsid,包体id,渠道,设备归因日期,设备激活数,账号注册数,角色创建数,f1,f3,f7,f15,f30,f60,f90,f180,累计付费金额,c1,c3,c7,c15,c30,c60,c90,c180,累计付费人数,次留,三留,七留,月留
TD,2570012,257,icn,2022-07-01,1,1,1,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,1,1,0,0
TD,2570001,257,icn,2022-07-01,1,1,1,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,2160209,216,yc,2022-07-01,1,0,0,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,0,-,-,-,-
TD,2160208,216,yc,2022-07-01,4,1,1,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,2160207,216,yc,2022-07-01,3,3,3,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,1,0
TD,2160206,216,yc,2022-07-01,21,17,15,12,12,12,12,12,-,-,-,12,2,2,2,2,2,-,-,-,2,2,1,0,0
TD,2160205,216,yc,2022-07-01,1,1,1,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,2160204,216,yc,2022-07-01,1,0,0,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,0,-,-,-,-
ORIG,2160000,2160000,yc,2022-07-01,4,4,3,6,6,6,6,6,-,-,-,6,1,1,1,1,1,-,-,-,1,1,0,0,0
TD,2133000,213,yc,2022-07-01,2,1,1,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,1,1,0,0
TD,2130497,213,yc,2022-07-01,3,2,3,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,2130496,213,yc,2022-07-01,1,1,3,1,1,1,2,2,-,-,-,2,1,1,1,1,1,-,-,-,1,0,0,0,0
TD,2130495,213,yc,2022-07-01,5,5,5,6,6,6,6,6,-,-,-,6,1,1,1,1,1,-,-,-,1,2,1,0,0
TD,2130494,213,yc,2022-07-01,1,1,1,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,2130492,213,yc,2022-07-01,1,1,1,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,2130490,213,yc,2022-07-01,8,6,11,42,78,84,84,120,-,-,-,126,2,3,3,3,3,-,-,-,3,4,2,1,2
TD,2130489,213,yc,2022-07-01,1,1,1,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,2130486,213,yc,2022-07-01,1,1,0,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,2130485,213,yc,2022-07-01,2,0,0,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,0,-,-,-,-
TD,2130484,213,yc,2022-07-01,11,7,6,1,1,1,1,1,-,-,-,1,1,1,1,1,1,-,-,-,1,3,2,1,0
TD,2130477,213,yc,2022-07-01,4,3,3,1,1,1,1,1,-,-,-,1,1,1,1,1,1,-,-,-,1,0,0,0,0
TD,2130476,213,yc,2022-07-01,1,1,3,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,2130473,213,yc,2022-07-01,5,3,7,128,128,128,128,452,-,-,-,452,1,1,1,1,1,-,-,-,1,2,3,1,1
TD,2130471,213,yc,2022-07-01,2,2,4,7,7,13,13,13,-,-,-,13,1,1,2,2,2,-,-,-,2,1,1,1,0
TD,2130469,213,yc,2022-07-01,4,4,4,6,6,6,6,6,-,-,-,6,1,1,1,1,1,-,-,-,1,1,1,0,0
TD,2130468,213,yc,2022-07-01,1,1,1,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,2130465,213,yc,2022-07-01,1,1,1,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,2130464,213,yc,2022-07-01,1,1,1,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,2130463,213,yc,2022-07-01,1,1,1,1,1,1,1,1,-,-,-,1,1,1,1,1,1,-,-,-,1,0,0,0,0
TD,2130462,213,yc,2022-07-01,1,1,1,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,2130461,213,yc,2022-07-01,2,2,2,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,2130444,213,yc,2022-07-01,2,2,3,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,2130442,213,yc,2022-07-01,1,1,1,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,2130441,213,yc,2022-07-01,1,1,1,99,99,99,99,99,-,-,-,99,1,1,1,1,1,-,-,-,1,1,0,0,0
TD,2130421,213,yc,2022-07-01,1,0,0,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,0,-,-,-,-
TD,2130412,213,yc,2022-07-01,1,1,4,0,0,30,30,60,-,-,-,60,0,0,1,1,1,-,-,-,1,1,1,1,1
TD,2130409,213,yc,2022-07-01,1,1,1,1,5,5,5,5,-,-,-,5,1,1,1,1,1,-,-,-,1,1,0,0,0
TD,2130408,213,yc,2022-07-01,1,1,1,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,2130407,213,yc,2022-07-01,2,2,11,30,32,93,331,362,-,-,-,562,1,2,2,2,2,-,-,-,2,2,2,0,1
TD,2130405,213,yc,2022-07-01,1,1,1,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,2130403,213,yc,2022-07-01,2,1,1,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,2130390,213,yc,2022-07-01,5,5,7,6,6,6,6,6,-,-,-,6,1,1,1,1,1,-,-,-,1,1,0,0,0
TD,2130386,213,yc,2022-07-01,1,1,1,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,2130383,213,yc,2022-07-01,1,1,1,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,1,0,0,0
TD,2130382,213,yc,2022-07-01,1,1,1,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,2130381,213,yc,2022-07-01,1,1,1,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,1,0,0
TD,2130380,213,yc,2022-07-01,1,1,0,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,2130376,213,yc,2022-07-01,1,1,1,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,2130375,213,yc,2022-07-01,4,2,2,6,6,6,6,6,-,-,-,6,1,1,1,1,1,-,-,-,1,1,1,0,0
TD,2130374,213,yc,2022-07-01,1,1,1,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,2130373,213,yc,2022-07-01,2,2,3,128,400,994,994,994,-,-,-,994,2,2,2,2,2,-,-,-,2,2,1,0,0
TD,2130350,213,yc,2022-07-01,1,1,3,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,2130349,213,yc,2022-07-01,3,2,2,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,2130348,213,yc,2022-07-01,1,0,0,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,0,-,-,-,-
TD,2130347,213,yc,2022-07-01,2,2,2,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,1,0,0,0
TD,2130346,213,yc,2022-07-01,4,3,3,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,2130344,213,yc,2022-07-01,5,3,2,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,2130343,213,yc,2022-07-01,2,2,2,6,6,6,6,6,-,-,-,6,1,1,1,1,1,-,-,-,1,1,0,0,0
TD,2130341,213,yc,2022-07-01,2,2,2,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,2130336,213,yc,2022-07-01,1,1,1,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,2130332,213,yc,2022-07-01,3,3,4,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,2130327,213,yc,2022-07-01,1,1,1,6,6,6,6,6,-,-,-,6,1,1,1,1,1,-,-,-,1,0,0,0,0
TD,2130322,213,yc,2022-07-01,1,1,0,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,2130313,213,yc,2022-07-01,14,12,14,86,86,86,86,86,-,-,-,86,4,4,4,4,4,-,-,-,4,4,3,0,0
TD,2130307,213,yc,2022-07-01,5,4,5,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,2130306,213,yc,2022-07-01,6,4,4,1,1,1,1,1,-,-,-,1,1,1,1,1,1,-,-,-,1,0,0,0,0
TD,2130305,213,yc,2022-07-01,11,7,6,12,12,12,12,12,-,-,-,12,2,2,2,2,2,-,-,-,2,2,1,1,0
TD,2130304,213,yc,2022-07-01,2,1,1,0,36,36,36,36,-,-,-,36,0,1,1,1,1,-,-,-,1,1,1,0,0
TD,2130302,213,yc,2022-07-01,2,1,1,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,2130301,213,yc,2022-07-01,8,6,7,292,848,878,878,878,-,-,-,878,2,2,2,2,2,-,-,-,2,1,1,0,0
TD,2130210,213,yc,2022-07-01,3,1,1,6,6,6,6,6,-,-,-,6,1,1,1,1,1,-,-,-,1,0,0,0,0
TD,2130208,213,yc,2022-07-01,1,1,1,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,2130206,213,yc,2022-07-01,1,1,1,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,1,0,0,0
TD,2130205,213,yc,2022-07-01,2,2,2,6,6,6,6,6,-,-,-,6,1,1,1,1,1,-,-,-,1,0,0,0,0
TD,2130204,213,yc,2022-07-01,3,2,2,12,12,12,12,12,-,-,-,12,2,2,2,2,2,-,-,-,2,0,0,0,0
TD,2130159,213,yc,2022-07-01,2,6,9,31,31,37,38,44,-,-,-,51,2,2,3,3,3,-,-,-,3,3,3,3,3
TD,2130087,213,yc,2022-07-01,1,1,1,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,2130086,213,yc,2022-07-01,4,4,6,0,6,6,6,6,-,-,-,6,0,1,1,1,1,-,-,-,1,2,0,0,0
TD,2130082,213,yc,2022-07-01,2,2,2,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,1,0,0,0
TD,2130017,213,yc,2022-07-01,12,7,9,30,30,30,30,30,-,-,-,36,5,5,5,5,5,-,-,-,6,3,1,0,0
ORIG,2130000,2130000,yc,2022-07-01,19,10,11,41,58,60,60,60,-,-,-,60,2,3,3,3,3,-,-,-,3,3,4,2,0
TD,2120111,212,yc,2022-07-01,1,0,0,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,0,-,-,-,-
TD,2120106,212,yc,2022-07-01,1,1,1,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,2120057,212,yc,2022-07-01,1,1,1,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,2120055,212,yc,2022-07-01,11,10,14,30,41,41,41,41,-,-,-,499,5,5,5,5,5,-,-,-,5,3,2,0,0
TD,2120054,212,yc,2022-07-01,9,8,9,12,12,12,12,12,-,-,-,12,2,2,2,2,2,-,-,-,2,2,0,0,0
TD,2120053,212,yc,2022-07-01,10,8,9,105,105,165,174,174,-,-,-,174,3,3,3,3,3,-,-,-,3,2,2,1,0
TD,2120052,212,yc,2022-07-01,8,7,9,0,0,6,6,6,-,-,-,6,0,0,1,1,1,-,-,-,1,2,1,1,0
TD,2120051,212,yc,2022-07-01,1,1,2,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,1,0
TD,2120049,212,yc,2022-07-01,5,3,5,0,6,6,6,6,-,-,-,6,0,1,1,1,1,-,-,-,1,0,1,1,0
TD,2120048,212,yc,2022-07-01,1,1,0,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,2120047,212,yc,2022-07-01,1,1,1,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,2120044,212,yc,2022-07-01,2,1,1,6,6,6,6,6,-,-,-,6,1,1,1,1,1,-,-,-,1,0,0,0,0
TD,2120043,212,yc,2022-07-01,1,0,0,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,0,-,-,-,-
TD,2120041,212,yc,2022-07-01,1,1,1,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
ORIG,2120000,2120000,yc,2022-07-01,26,59,56,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,13,5,1,1
TD,2111000,211,yc,2022-07-01,55,61,114,3168,11209,27008,31655,38671,-,-,-,39816,26,33,34,35,35,-,-,-,35,28,25,15,6
TD,2110339,211,yc,2022-07-01,1,0,0,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,0,-,-,-,-
TD,2110324,211,yc,2022-07-01,1,0,0,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,0,-,-,-,-
TD,2110321,211,yc,2022-07-01,23,18,23,389,451,584,587,588,-,-,-,588,6,6,6,6,6,-,-,-,6,4,3,2,0
TD,2110318,211,yc,2022-07-01,2,2,7,6,66,490,490,490,-,-,-,1566,1,1,1,1,1,-,-,-,1,2,2,1,0
TD,2110314,211,yc,2022-07-01,1,1,1,1,1,1,1,1,-,-,-,1,1,1,1,1,1,-,-,-,1,1,0,0,0
TD,2110308,211,yc,2022-07-01,3,2,1,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,2110307,211,yc,2022-07-01,1,0,0,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,0,-,-,-,-
TD,2110306,211,yc,2022-07-01,5,3,4,6,6,6,7,7,-,-,-,7,1,1,1,2,2,-,-,-,2,0,0,0,0
TD,2110305,211,yc,2022-07-01,2,0,0,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,0,-,-,-,-
TD,2110304,211,yc,2022-07-01,1,0,0,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,0,-,-,-,-
TD,2110303,211,yc,2022-07-01,2,1,1,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,2110302,211,yc,2022-07-01,1,0,0,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,0,-,-,-,-
TD,2110096,211,yc,2022-07-01,12,9,16,0,98,286,621,2269,-,-,-,4220,0,1,1,1,1,-,-,-,1,2,1,1,1
TD,2110095,211,yc,2022-07-01,1,1,1,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,2110094,211,yc,2022-07-01,1,0,0,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,0,-,-,-,-
TD,2110093,211,yc,2022-07-01,1,1,2,0,0,0,6,232,-,-,-,232,0,0,0,1,1,-,-,-,1,1,0,1,1
TD,2110086,211,yc,2022-07-01,4,3,2,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,2110085,211,yc,2022-07-01,1,0,0,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,0,-,-,-,-
TD,2110083,211,yc,2022-07-01,1,1,1,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,2110082,211,yc,2022-07-01,1,1,1,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,1,0,0,0
TD,2110008,211,yc,2022-07-01,5,5,7,6,6,6,136,136,-,-,-,136,1,1,1,1,1,-,-,-,1,0,0,1,0
TD,2110007,211,yc,2022-07-01,6,4,6,6,6,6,7,9,-,-,-,9,1,1,1,2,2,-,-,-,2,2,1,0,0
TD,2110003,211,yc,2022-07-01,4,3,5,0,0,0,0,2,-,-,-,2,0,0,0,0,1,-,-,-,1,0,1,0,0
TD,2110001,211,yc,2022-07-01,3,3,4,90,159,491,619,619,-,-,-,619,1,1,1,1,1,-,-,-,1,2,2,1,0
ORIG,2110000,2110000,yc,2022-07-01,9,9,11,81,81,81,81,81,-,-,-,81,3,3,3,3,3,-,-,-,3,2,3,2,0
TD,2103202,210,yc,2022-07-01,1,1,1,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
